,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2017-08-03,69.06600189208984,70.0,68.62999725341797,69.41799926757812,69.41799926757812,67675000,TSLA,87.84542,71.38200378417969,1.9640045166015625,0.0
2017-08-17,72.24199676513672,72.66000366210938,70.31800079345703,70.38400268554688,70.38400268554688,25138500,TSLA,89.88492,69.49199676513672,-0.8920059204101562,0.0
2017-08-18,70.58200073242188,70.80000305175781,69.16000366210938,69.49199676513672,69.49199676513672,27041000,TSLA,88.597824,67.5719985961914,-1.9199981689453125,0.0
2017-08-25,70.8479995727539,71.13800048828125,69.45999908447266,69.61000061035156,69.61000061035156,17420000,TSLA,88.86433,69.13200378417969,-0.477996826171875,0.0
2017-08-28,69.45600128173828,69.47000122070312,67.94400024414062,69.13200378417969,69.13200378417969,18820000,TSLA,87.69598,69.47200012207031,0.339996337890625,0.0
2017-08-29,67.89600372314453,69.80999755859375,67.75,69.47200012207031,69.47200012207031,20368500,TSLA,87.47913,70.63600158691406,1.16400146484375,0.0
2017-08-30,69.93399810791016,70.69400024414062,69.4000015258789,70.63600158691406,70.63600158691406,17064500,TSLA,88.80523,71.18000030517578,0.5439987182617188,0.0
2017-09-07,69.19599914550781,70.49600219726562,68.69000244140625,70.12200164794922,70.12200164794922,21196000,TSLA,88.29468,68.68000030517578,-1.4420013427734375,0.0
2017-09-28,67.97599792480469,68.55000305175781,67.08000183105469,67.91999816894531,67.91999816894531,26598000,TSLA,86.640854,68.22000122070312,0.3000030517578125,0.0
2017-10-03,67.18000030517578,69.70999908447266,66.25599670410156,69.62799835205078,69.62799835205078,50768000,TSLA,86.90101,71.00199890136719,1.3740005493164062,0.0
2017-10-04,70.25,71.7239990234375,69.91999816894531,71.00199890136719,71.00199890136719,40817500,TSLA,89.25655,71.06600189208984,0.06400299072265625,0.0
2017-10-13,71.39600372314453,71.697998046875,70.73600006103516,71.11399841308594,71.11399841308594,17702500,TSLA,89.782684,70.12000274658203,-0.9939956665039062,0.0
2017-11-01,66.44999694824219,66.52200317382812,64.052001953125,64.21600341796875,64.21600341796875,42286500,TSLA,84.16983,59.85200119018555,-4.364002227783203,0.0
2017-11-14,63.0,63.27000045776367,61.380001068115234,61.7400016784668,61.7400016784668,28380500,TSLA,81.47637,62.2599983215332,0.5199966430664062,0.0
2017-12-01,61.0880012512207,62.06399917602539,61.0099983215332,61.305999755859375,61.305999755859375,21464500,TSLA,80.618286,61.040000915527344,-0.26599884033203125,0.0
2017-12-04,61.29999923706055,61.65399932861328,60.12200164794922,61.040000915527344,61.040000915527344,29175500,TSLA,80.26527,60.7400016784668,-0.2999992370605469,0.0
2017-12-14,68.2020034790039,69.48799896240234,67.37999725341797,67.5780029296875,67.5780029296875,28999500,TSLA,86.88954,68.69000244140625,1.11199951171875,0.0
2018-01-26,68.30000305175781,68.80000305175781,67.14199829101562,68.56999969482422,68.56999969482422,22697000,TSLA,86.95377,69.90599822998047,1.33599853515625,0.0
2018-02-07,67.7979965209961,69.19999694824219,67.13200378417969,69.0,69.0,34846000,TSLA,87.00823,63.04600143432617,-5.953998565673828,0.0
2018-02-21,67.20600128173828,67.93800354003906,66.63400268554688,66.66000366210938,66.66000366210938,16098000,TSLA,85.95439,69.23400115966797,2.5739974975585938,0.0
2018-03-02,65.39600372314453,67.04399871826172,64.59400177001953,67.02400207519531,67.02400207519531,25464000,TSLA,84.93498,66.66999816894531,-0.35400390625,0.0
2018-03-14,67.35199737548828,67.96199798583984,64.78600311279297,65.32599639892578,65.32599639892578,39837000,TSLA,85.15132,65.12000274658203,-0.20599365234375,0.0
2018-03-20,62.9739990234375,63.25,61.75199890136719,62.11000061035156,62.11000061035156,23821500,TSLA,81.659706,63.305999755859375,1.1959991455078125,0.0
2018-03-21,62.04999923706055,64.48799896240234,62.03799819946289,63.305999755859375,63.305999755859375,29792000,TSLA,82.09797,61.81999969482422,-1.4860000610351562,0.0
2018-03-22,62.77799987792969,63.763999938964844,61.63600158691406,61.81999969482422,61.81999969482422,24699000,TSLA,81.637825,60.30799865722656,-1.5120010375976562,0.0
2018-03-29,51.29800033569336,54.19200134277344,49.641998291015625,53.22600173950195,53.22600173950195,75853500,TSLA,71.88477,50.49599838256835,-2.730003356933601,0.0
2018-04-18,58.215999603271484,60.04800033569336,57.63199996948242,58.66999816894531,58.66999816894531,32788500,TSLA,78.0548,60.01599884033203,1.3460006713867188,0.0
2018-04-19,58.215999603271484,60.20199966430664,57.709999084472656,60.01599884033203,60.01599884033203,30453000,TSLA,78.445595,58.04800033569336,-1.9679985046386719,0.0
2018-05-02,59.7140007019043,61.369998931884766,59.555999755859375,60.22999954223633,60.22999954223633,44852000,TSLA,79.48705,56.88999938964843,-3.3400001525878977,0.0
2018-05-10,61.5,62.597999572753906,60.821998596191406,61.00400161743164,61.00400161743164,28258000,TSLA,80.69012,60.21200180053711,-0.7919998168945312,0.0
2018-05-15,57.00199890136719,57.391998291015625,56.099998474121094,56.83599853515625,56.83599853515625,47596000,TSLA,76.32064,57.29600143432617,0.4600028991699219,0.0
2018-05-22,57.551998138427734,57.599998474121094,54.683998107910156,55.00199890136719,55.00199890136719,44729000,TSLA,75.706924,55.81399917602539,0.8120002746582031,0.0
2018-05-23,55.551998138427734,55.981998443603516,54.79999923706055,55.81399917602539,55.81399917602539,29925500,TSLA,75.17466,55.56999969482422,-0.24399948120117188,0.0
2018-06-05,59.540000915527344,59.560001373291016,57.347999572753906,58.22600173950195,58.22600173950195,29976000,TSLA,78.05114,63.900001525878906,5.673999786376953,0.0
2018-06-21,72.4000015258789,73.24199676513672,69.25399780273438,69.50199890136719,69.50199890136719,39835500,TSLA,89.54312,66.72599792480469,-2.7760009765625,0.0
2018-06-28,69.73200225830078,71.40399932861328,69.22200012207031,69.98600006103516,69.98600006103516,41990000,TSLA,88.65403,68.58999633789062,-1.3960037231445312,0.0
2018-06-29,70.66600036621094,70.77200317382812,68.48200225830078,68.58999633789062,68.58999633789062,32462000,TSLA,88.21045,67.01399993896484,-1.5759963989257812,0.0
2018-07-03,66.3499984741211,66.49800109863281,61.9379997253418,62.172000885009766,62.172000885009766,61413000,TSLA,83.093544,61.83200073242188,-0.3400001525878835,0.0
2018-07-05,62.75199890136719,62.87799835205078,59.24399948120117,61.832000732421875,61.832000732421875,87382000,TSLA,80.713715,61.779998779296875,-0.052001953125,0.0
2018-07-10,64.91200256347656,65.53600311279297,63.84000015258789,64.49400329589844,64.49400329589844,47357500,TSLA,83.618515,63.79199981689453,-0.7020034790039062,0.0
2018-07-13,63.11600112915039,63.91600036621094,61.849998474121094,63.77399826049805,63.77399826049805,29349000,TSLA,82.258896,62.02000045776367,-1.753997802734375,0.0
2018-07-23,60.36800003051758,61.099998474121094,58.571998596191406,60.63999938964844,60.63999938964844,54964500,TSLA,79.40188,59.486000061035156,-1.1539993286132812,0.0
2018-07-24,60.88399887084961,61.54399871826172,58.5099983215332,59.486000061035156,59.486000061035156,47954000,TSLA,79.33497,61.74800109863281,2.2620010375976562,0.0
2018-08-21,62.12200164794922,64.95800018310547,61.79999923706055,64.37999725341797,64.37999725341797,65861000,TSLA,82.338936,64.3280029296875,-0.05199432373046875,0.0
2018-08-28,63.68199920654297,63.7760009765625,62.237998962402344,62.37200164794922,62.37200164794922,38245500,TSLA,82.06907,61.00199890136719,-1.3700027465820312,0.0
2018-09-10,54.652000427246094,57.20600128173828,54.20000076293945,57.099998474121094,57.099998474121094,71417500,TSLA,75.3407,55.88800048828126,-1.2119979858398366,0.0
2018-09-14,57.75199890136719,59.465999603271484,57.30400085449219,59.040000915527344,59.040000915527344,33828000,TSLA,77.82957,58.96799850463867,-0.07200241088867188,0.0
2018-09-17,58.007999420166016,60.17399978637695,57.625999450683594,58.96799850463867,58.96799850463867,34438000,TSLA,78.10715,56.992000579833984,-1.9759979248046875,0.0
2018-09-28,54.051998138427734,55.599998474121094,52.11199951171875,52.95399856567383,52.95399856567383,168248500,TSLA,73.27912,62.13999938964844,9.18600082397461,0.0
2018-10-03,60.66600036621094,60.91999816894531,58.31399917602539,58.959999084472656,58.959999084472656,39975000,TSLA,78.988266,56.36600112915039,-2.5939979553222656,0.0
2018-10-10,52.922000885009766,53.10200119018555,49.55400085449219,51.375999450683594,51.375999450683594,64076500,TSLA,71.52036,50.44599914550781,-0.9300003051757812,0.0
2018-10-15,51.8120002746582,52.65599822998047,50.90800094604492,51.917999267578125,51.917999267578125,31000000,TSLA,71.72361,55.318000793457024,3.400001525878899,0.0
2018-10-19,53.47800064086914,53.93199920654297,50.70000076293945,52.0,52.0,46877500,TSLA,72.29883,52.189998626708984,0.18999862670898438,0.0
2018-10-22,52.13600158691406,52.37200164794922,50.518001556396484,52.189998626708984,52.189998626708984,28001500,TSLA,71.70802,58.827999114990234,6.63800048828125,0.0
2018-10-24,60.209999084472656,60.88800048828125,57.145999908447266,57.70000076293945,57.70000076293945,100291500,TSLA,78.183914,62.97200012207031,5.271999359130859,0.0
2018-11-09,69.80000305175781,70.80000305175781,69.0459976196289,70.10199737548828,70.10199737548828,25494000,TSLA,88.55984,66.25599670410156,-3.8460006713867188,0.0
2018-11-19,71.26799774169922,73.3499984741211,70.57599639892578,70.69400024414062,70.69400024414062,48544500,TSLA,89.91495,69.49800109863281,-1.1959991455078125,0.0
2018-11-29,69.4000015258789,69.5,67.91000366210938,68.23400115966797,68.23400115966797,15403500,TSLA,87.47495,70.09600067138672,1.86199951171875,0.0
2018-12-06,71.2020034790039,73.47599792480469,70.1520004272461,72.61199951171875,72.61199951171875,39212500,TSLA,90.32242,71.59400177001953,-1.0179977416992188,0.0
2018-12-07,73.80000305175781,75.89800262451172,71.52999877929688,71.59400177001953,71.59400177001953,57556000,TSLA,91.474945,73.02999877929688,1.4359970092773438,0.0
2018-12-14,75.0,75.5739974975586,72.86599731445312,73.14199829101562,73.14199829101562,31688000,TSLA,92.414085,69.68399810791016,-3.4580001831054688,0.0
2018-12-18,70.10800170898438,70.30999755859375,66.73799896240234,67.40599822998047,67.40599822998047,35500000,TSLA,87.26998,66.59400177001953,-0.8119964599609375,0.0
2019-01-14,68.47599792480469,68.5,66.80000305175781,66.87999725341797,66.87999725341797,26236500,TSLA,86.414406,68.88600158691406,2.0060043334960938,0.0
2019-01-17,69.24199676513672,70.30000305175781,68.83000183105469,69.46199798583984,69.46199798583984,18383500,TSLA,88.13949,60.45199966430665,-9.009998321533196,0.0
2019-01-23,58.5,58.900001525878906,56.3380012512207,57.518001556396484,57.518001556396484,62650000,TSLA,77.178474,58.30199813842774,0.7839965820312571,0.0
2019-02-07,62.65999984741211,62.939998626708984,60.599998474121094,61.50199890136719,61.50199890136719,32603000,TSLA,81.0703,61.15999984741211,-0.3419990539550781,0.0
2019-02-13,62.470001220703125,62.54999923706055,61.11399841308594,61.63399887084961,61.63399887084961,25708000,TSLA,81.11463,60.75400161743164,-0.8799972534179688,0.0
2019-02-14,60.67599868774414,61.354000091552734,60.20000076293945,60.75400161743164,60.75400161743164,26004000,TSLA,80.02204,61.57600021362305,0.8219985961914062,0.0
2019-02-21,60.36199951171875,60.64799880981445,58.099998474121094,58.24599838256836,58.24599838256836,44546000,TSLA,78.62244,58.94200134277344,0.6960029602050781,0.0
2019-02-22,58.89799880981445,59.29999923706055,58.41999816894531,58.94200134277344,58.94200134277344,28703000,TSLA,78.28949,59.75400161743164,0.8120002746582031,0.0
2019-03-05,56.400001525878906,56.79999923706055,54.02000045776367,55.30799865722656,55.30799865722656,93823500,TSLA,75.09741,55.248001098632805,-0.059997558593757105,0.0
2019-03-07,55.768001556396484,56.939998626708984,54.849998474121094,55.31800079345703,55.31800079345703,47212500,TSLA,75.286644,56.827999114990234,1.5099983215332031,0.0
